abaza	value
Джвыквибагара	Джвы-кв-[иба]-гара\nнеперех.\nвыбежать, высыпать (со двора, из помещения)\nАхабар анрагIа й-джвы-кв-иба-га-тI. Аб. Т. Когда услышали весть, они выбежали, высыпали.  Ср. й-аба-джвы-кв-га-тI они друг друга вынесли со двора, из помещения.\nПРЕВЕРБ джвы-кв(ы)+КОРНИ\nКлычев, с. page\n1123
Джвыквххра	Джвы-кв-[хх]-ра\nнеперех.\nбежать (со двора, из помещения)\nАбага джвыквххтI (й-джвы-кв-хх-тI). Абаза т., 139. Лиса побежала.  ХIара аткванла хI-джвы- кв-хх-тI. КыткI, 14. Мы побежали в сторону магазина.\nПРЕВЕРБ джвы-кв(ы)+КОРНИ\nКлычев, с. page\n1124
ДжвыквхIвара	Джвы-кв-[хIва]-ра\nперех.\nтащить кого, что-л. (со двора, из помещения)\nСмахъа йымата с-джвы-кв-и-хIва-тI. Аб. Т. Он меня потащил, взяв меня за руку.\nПРЕВЕРБ джвы-кв(ы)+КОРНИ\nКлычев, с. page\n1125
Джвыквцара	Джвы-кв-[ца]-ра\nперех.\nгнать, прогнать кого-л. (со двора, из помещения)\nАрхъа ла гIайын агIвна ла джвыквнацатI (й-джвы-кв-на-ца-тI). Посл. Дикая собака пришла и прогнала домашнюю.  Ауи д-джвы-квы-р-ца-х-тI. КыткI, 22. Они его прогнали.\nПРЕВЕРБ джвы-кв(ы)+КОРНИ\nКлычев, с. page\n1126
Джвылблыгьара	Джвы-л-[блыгьа]-ра\nнеперех.\nвыбраться из помещения, кувыркаясь\nАджьугьальа йахIвушыз ахIван й-джвы-л-блыгьа-х-тI. Аб. Т. Перекати-поле сказало все, что хотело, и понеслось из помещения (кувыркаясь).\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1127
Джвылгара	Джвы-л-[га]-ра\nперех.\nвынести кого, что-л. из помещения\nУахъынла ашыла джвылигитI (й-джвы-л-и-г-итI). Гвым, 18. Ночью он выносит муку из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1128
Джвылгьажьра	Джвы-л-[гьажь]-ра\nнеперех.\nвыкатиться из помещения\nАсабихъа джвылгьажьтI (й-джвы-л-гьажь-тI) агваны. А. тш., 5. Детство выкатилось во двор.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1129
ДжвылгIвызра	Джвы-л-[гIвыз]-ра\nнеперех.\nвыскользнуть из помещения\nМадза-мадза д-джвы-л-гIвыз-тI, Аб, Т. Он незаметно выскользнул из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1130
Джвылыжжра	Джвы-лы-[жж]-ра\nнеперех.\nвыливаться (о жидкости) из помещения\nАхыз джвылыжжхуан (й-джвы-лыжж-х-уан). Аб. Т. Сыворотка выливалась из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1131
Джвылибагара	Джвы-л-[иба]-гара\nнеперех.\nвыбежать, высыпать из помещения\nЙ-джвы-л-иба-га-тI хlыгlвзачва агваны. А. тш., 47. Наши товарищи выбежали во двор.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1132
Джвылкъьара	Джвы-л-[къьа]-ра\nнеперех.\nвыбежать из помещения\nЛаргьи д-джвы-л-къьа-тI. А. гш., 28. И она выбежала из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1133
ДжвылкIвырра	Джвы-л-[кIвыр]-ра\nнеперех.\nвыползти из помещения\nАла чмазагIв агIвара й-гIа-джвы-л-кIвыр-х-тI. Аб. Т. Больная собака выползла из своей норы.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1134
Джвылпара	Джвы-л-[па]-ра\nнеперех.\nвыпрыгнуть из помещения\nАтып д-джвы-л-патI Аб. Т. Он выпрыгнул из шалаша.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1135
Джвылпсара (1)	Джвы-л-[пса]-ра\nперех.\nвымести, выметать (сор) из помещения\nАнышвкъвара джвыллпсатI (й-джвы-лы-л-пса-тI). Аб. Т. Она вымела сор из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1136
Джвылпсара (2)	Джвы-л-[пса]-ра\nперех.\nвыбрасывать (мелкие предметы) из помещения\nАпхIвыс абыгъьква джвылылпсун (й-джвы-лы-л-пс-ун). Ком., 29.ХI.1986, II. Женщина выбрасывала листья из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1137
ДжвылпссгIара	Джвы-л-[пссгIа]-ра\nнеперех.\nвылететь из помещения\nАцIис абора й-джвы-л-пссгIа-х-тI. Аб. Т. Воробей вылетел из сарая.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1138
Джвылпшра	Джвы-л-[пш]-ра\nнеперех.\nвыглянуть, выглядывать из помещения\nХIпахь с-джвы-л-пш-итI. АчIвыйа, 56. Я выглядываю в наш двор.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1139
ДжвылпIлара	Джвы-л-[пIла]-ра\nнеперех.\nвысыпаться из помещения (о сыпучих предметах)\nАнартыхв джвылпIлун (й-джвы-л-пIл-ун). Аб. Т, Кукуруза высыпалась из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1140
ДжвылыртIтIара	Джвы-лы-р-[тIтIа]-ра\nперех.\nвыбросить, вывалить (густое) из помещения\nАнышв алацIахьа абора й-джвы-л-ды-р-тIтIа-х-тI. Аб. Т. Они из сарая выбросили раствор глины.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1141
Джвылхвхвара	Джвы-л-[хвхва]-ра\nнеперех.\nвытянуться, нытягиваться из помещения; выглянуть, выглядывать из помещения\nАгъвы гIаджвылхвхвун (й-гIа-джвы-л-хвхв-ун). Аб. Т. Доска выглядывала из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1142
ДжвылхIвара	Джвы-л-[хIва]-ра\nперех.\nвытащить, вытаскивать, выволакивать кого, что-л. из помещения\nАкIватан ажьира й-джвы-лы-р-хIва-х-тI. Т. Т. Они из кузницы зыволокли плуг.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1143
Джвылцара	Джвы-л-[ца]-ра\nперех.\nвыгнать, выгонять кого-л. из помещения\nАтынчра джвылсцитI (й-джвы-л-с-ц-итI). Сгвы, 22. Я из помещения прогоняю покой.  Мырза Хаджьат д-джвы-л-и-ца-тI. Абаза т., 6. Мирза выгнал Хаджат.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1144
ДжвылцIырра	Джвы-л-[цIыр]-ра\nнеперех.\nвыкрикнуть, выкрикивать из помещения\nЙангIахъвла д-джвы-л-цIыр-тI. Аб. Т. Когда стемнело, он выкрикнул из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1145
Джвылчвара	Джвы-л-[чва]-ра\nперех.\nвылить, выливать (жидкое) из помещения\nАдзы джвылылчвун (й-джвы-лы-л-чв-ун). Аб. Т. Она выливала воду из помещения.\nПРЕВЕРБ джвы-л(ы)+ КОРНИ\nКлычев, с. page\n1146
Адзакшара	А-дза-[кша]-ра\nнеперех.\nбить в щеку, в лицо\nД-и-дза-кш-ун. Аб. Т. Он его бил в щеку.\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1147
Адзакъьара	А-дза-[къьа]-ра\nперех.\nбить, ударить кого-л. в щеку, в лицо\nАтлапад ацгвы й-а-дза-л-къь-итI. АчIвыйа, 29. Она чулком бъет кошку (она машет чулок в щеку).\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1148
Адзасра	А-дза-[с]-ра\nнеперех.\nбить, ударить в щеку, в лицо\nАзаман апшаквагьи гIардзаситI (й-гIа-р-дза-с-итI). Ашахв, 76. Ветры времени дуют им в лицо (бьют им в лицо).  Дахмыщ  КIылчIвыргьи  д-гIа-хI-дза-с-тI. А. тш., 66. Высокий Дахмыщ побил нас (он ударил нас по щекам).\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1149
Адзаршвара	А-дза-р-[шва]-ра\nперех.\nударить кого-л. сильно в щеку (до онемения)\nДйысын йдзайыршвытI (й-й-дза-йы-р-швы-тI). Аб. Т. Он его ударил сильно в щеку.\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1150
Дзаблы	Дза-[блы]-\nсем. атр.\nобожженный (сбоку)\nА-дза-блы дтшкIарыцIхтI. Аб. Т. Обожженный вышел со двора.\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1151
Дзабылра (1)	Дза-[был]-ра\nнеперех.\nгореть, сгореть сбоку\nАмца гIайымцIасын мачIлI атахъхатI д-дза-блы-х-уан. Аб. Т. Огонь его охватил, и он чуть не сгорел (сбоку).\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1152
Дзабылра (2)	Дза-[был]-ра\nперех.\nсжигать что-л. сбоку\nАкды дзарбылуан (й-дзы-р-был-уан). Аб. Т. Они сжигали пень сбоку.\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1153
АдзахIва	А-дза-[хIва]-\n\nпровести, протащить (линию, борозду) криво, сбоку\nЙ-а-дза-хIва-та йырчIвагъватI. Аб. Т. Они провели линию (сбоку) криво.\nПРЕВЕРБ дза+КОРНИ\nКлычев, с. page\n1154
АдзхъабагIвара	А-дз-хъа-[багIва]-ра\nнеперех.\nразбогатеть рядом кем, чем-л.\nШвипшы, д-ры-дз-хъа-багIва-ма? Аб. Т. Посмотрите на него: разве он рядом с ними разбогател?\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1158
АдзхъабгIара	А-дз-хъа-[бгIа]-ра\nнеперех.\nгнить, сгнить рядом с кем, чем-л.\nАчвайдза ахIахъв гвара й-а-дз-хъа-бгI-ун. Аб. Т. Сырое сено гнило рядом с каменным забором.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1159
Адзхъаблыгьара	А-дз-хъа-[блыгьа]-ра\nнеперех.\nподкатиться к кому, чему-л. \nАкIадза йгIашIышвтыз ахIахъв атдзы й-а-дз-хъа-блыгьа-х-тI. Аб. Т. Камень, который сорвался со скалы, подкатился к дому.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1160
Адзхъабылра (1)	А-дз-хъа-[был]-ра\nнеперех.\nгореть рядом с кем, чем-л.\nАтдзы й-а-дз-хъа-был-уан. Аб. Т. То горело рядом с домом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1161
Адзхъабылра (2)	А-дз-хъа-[был]-ра\nперех.\nсжигать что-л. рядом с кем, чем-н.\nАмшIы ахъазыкI й-а-дз-хъа-уы-м-блы-н. Аб. Т. Напрасно ты не сжигай дрова рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1162
Адзхъагара	А-дз-хъа-[га]-ра\nперех.\nпреподнести что-л. кому-н.\nУадыргIвана афачIвгьи рыдзхъалгахтI (й-ры-дз-хъа-л-га-х-тI). Аб. Т. Потом она им преподнесла пищу.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1163
Адзхъагыла	А-дз-хъа-[гыла]-\nнеперех.\nстоять рядом с кем, чем-л.\nУацIыхъван д-ры-дз-хъа-гыла араса атайхIвахтI. Нышв, 219. Он потом так сказал, стоя рядом с ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1164
Адзхъагылра	А-дз-хъа-[гыл]-ра\nнеперех.\nстать рядом с кем, чем-л.\nСгIадзхъагылтI (с-гIа-а-дз-хъа-гыл-тI) бшвхъымса. Йара, 119. Я стал рядом с твоим порогом.  Толистан ауи д-на-йы-дз-хъа-гыл-тI. Т. Т. Нышв, 235. Толистан стал рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1165
Адзхъагвара	А-дз-хъа-[гва]-ра\nперех.\nсовать, просунуть что-л. рядом с чем-н.\nАласагьи амашаквква й-ры-дз-хъа-р-гва-х-тI. Аб. Т. Они просунули шерстьрядом с мешками.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1166
АдзхъагвычIара	А-дз-хъа-[гвычIа]-ра\nперех.\nтоптать, растоптать кого, что-л. рядом с кем, чем-н., месить что-л. рядом с кем, чем-н.\nЙ-а-дз-хъа-р-гвычI-ун. Аб. Т. Они то растаптывали рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1167
Адахъагъызра	А-дз-хъа-[гъыз]-ра\nнеперех.\nстонать рядом с кем, чем-л.\nАчва хIаджв д-а-дз-хъа-гъыз-уан. Аб. Т. Он стонал рядом со скирдой сена.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1168
Адзхъагъьгъьара	А-дз-хъа-[гъьгъьа]-ра\nперех.\nскоблить сто-л. рядом с кем, чем-н.\nЙ-а-дз-хъа-р-гъыгъь-ун. Аб. Т. Они то скоблили рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1169
Адзхъагьагьасара	А-дз-хъа-[гьагьаса]-ра\nнеперех.\nкружиться, вертеться рядом с кем, чем-н.\nАсаби д-йы-дз-хъа-гьагьас-ун. Аб. Т. Ребенок вертелся рядом с ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1170
Адзхъагьажьра	А-дз-хъа-[гьажь]-ра\nнеперех.\nприкатиться к кому, чему-л.\nАтоп рыдзхъагьажьтI (й-ры-дз-хъа-гьажь-тI). Аб. Т. Мяч прикатился к ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1171
АдзхъагIвызра	А-дз-хъа-[гIвыз]-ра\nнеперех.\nприкатиться к кому, чему-л.; поскользнуться рядом с кем, чем-л.\nАгвып -д-ры-дз-хъа-гIвыз-тI. Аб. Т. Он подкатился к группе людей.  АцIла д-а-дз-хъа-гIвыз-тI. Аб. Т. Он поскользнулся рядом с деревом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1172
АдзхъагIвара	А-дз-хъа-[гIва]-ра\nнеперех.\nсохнуть рядом с кем, чем-л.\nАцIла агвара й-а-дз-хъа-гIва-тI. Аб. Т. Дерево засохло рядом с забором.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1173
Адзхъадзахра (1)	А-дз-хъа-[дзах]-ра\nнеперех.\nшить рядом с кем, чем-л.\nАуат д-ры-дз-хъа-дзах-уан. Аб. Т. Он шил рядом с ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1174
Адзхъадзахра (2)	А-дз-хъа-[дзах]-ра\nперех.\nшить, сшить что-л. рядом с кем, чем-н. пришить что-л. к чему-н.\nАджьып адзхъалдзахуан (й-а-дз-хъа-л-дзах-уан). Аб. Т. Она пришивала карман к чему-то.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1175
Адзхъажра (1)	А-дз-хъа-[ж]-ра\nнеперех.\nкопать рядом с кем, чем-л.\nАцIлаква й-ры-дз-хъа-ж-уан. Аб. Т. Они копали рядом с длеревьями.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1176
Адзхъажра (2)	А-дз-хъа-[ж]-ра\nперех.\nкопать что-л. рядом с кем, чем-н.\nАцIлаква й-ры-дз-хъа-р-ж-уан. Аб. Т. Они копали то рядом с деревьями.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1177
Адзхъажжра	А-дз-хъа-[жж]-ра\nнеперех.\nпротекать, литься (о жидкости) рядом с кем, чем-л.\nАдзыжь ацIлаква й-ры-дз-хъа-жж-уан. Аб. Т. Ручеек протекал рядом с деревьями.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1178
Адзхъажвра (1)	А-дз-хъа-[жв]-ра\nнеперех.\nвариться рядом с чем-л.\nАжьы абаста й-а-дз-хъа-жв-уан. Аб. Т. Мясо варилось рядом с бастой (кашей).\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1179
Адзхъажвра (2)	А-дз-хъа-[жв]-ра\nперех.\nварить что-л. рядом с чем-н.\nАжьы абаста й-а-дз-хъа-р-жв-уан. Аб. Т. Они варили мясо рядом с бастой (кашей).\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1180
Адзхъажвжвара	А-дз-хъа-[жвжва]-ра\nперех.\nрвать, разорвать кого, что-л. рядом с кем, чем-н.\nАгвашв й-а-дз-хъа-р-жвжва-та рхIвун. Аб. Т. Они говорили, что те разорвали его рядом с воротами.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1181
Адахъайра	А-дз-хъа-[й]-ра\nнеперех.\nвырастать, произрастать рядом с кем, чем-л.\nАкъвыд анартыхв й-а-дз-хъа-й-уан. Аб. Т. Фасоль произростала рядом с кукурузой.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1182a
АдзхъагIайра	А-дз-хъа-гIа-[й]-ра\nнеперех.\nвырастать, произрастать рядом с кем, чем-л.\nАкъвыд анартыхв й-а-дз-хъа-гIа-й-уан. Аб. Т. Фасоль произростала рядом с кукурузой.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1182b
Адзхъакъьара	А-дз-хъа-[къьа]-ра\nперех.\nбросить кого, что-л. рядом с кем, чем-н.\nЙ-уы-дз-хъа-л-къьа-н дтшкIарыцIхтI. Аб. Т. Она ушла со двора, побив тебя (она то рядом с тобой бросив).\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1183
Адзхъакъькъьара	А-дз-хъа-[къькъьа]-ра\nперех.\nрубить, расколоть что-л. рядом с кем, чем-н. на мелкие куски\nАмшIы атдзы й-а-дз-хъа-р-къькъьа-тI. Аб. Т. Они рядом с домом раскололи дрова нак мелкие куски.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1184
АдзхъакIра	А-дз-хъа-[кI]-ра\nперех.\nловить, поймать, держать кого, что-л. рядом с кем, чем-н.\nАуат д-ры-дз-хъа-швы-м-кМы-н. Аб. Т Вы его не держите рядом с ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1185
АдзхъакIкIара	А-дз-хъа-[кIкIа]-ра\nнеперех.\nсверка рядом с кем, чем-л.\nАнур рыдзхъа-кIкIун (й-ры-дз-хъа-кIкI-ун). Аб. Т. Луч сверкал рядом с ним.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1186
АдзхъакIвабара	А-дз-хъа-[кIваба]-ра\nперех.\nкупать кого-л. рядом с кем, чем-н.\nАтшы ахIахъвь ду й-а-дз-хъа-р-кIваб-ун. Аб. Т. Они коня купали рядом с большим камнем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1187
АдзхъакIвырра	А-дз-хъа-[кIвыр]-ра\nнеперех.\nподползти к кому, чем-л. рядом, вплотную\nАтдзы й-а-дз-хъа-кIвыр-уан. Аб. Т. Они подползли вплотную к дому.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1188
Адзхъалагара	А-дз-хъа-[лага]-ра\nперех.\nсмолоть что-л. рядом с кем, чем-н.\nАнартыхв рыдзхъайлагатм (й-ры-дз-хъа-й-лага-тI). Аб. Т. Он смолол кукурузу рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1189
Адзхъалашвара (1)	А-дз-хъа-[лашва]-ра\nнеперех.\nполоть рядом с кем, чем-л.\nД-р-ы-дз-хъа-лашв-ун. Аб. Т. Он полол рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1190a
Адзхъарашвара (1)	А-дз-хъа-[рашва]-ра\nнеперех.\nполоть рядом с кем, чем-л.\nД-р-ы-дз-хъа-лашв-ун. Аб. Т. Он полол рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1190b
Адзхъалашвара (2)	А-дз-хъа-[лашва]-ра\nперех.\nполоть что-л. рядом с кем, чем-л.\nЙ-р-ы-дз-хъа-й-лашв-ун. Лб. Т. Он полол то рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1191a
Адзхъарашвара (2)	А-дз-хъа-[рашва]-ра\nперех.\nполоть что-л. рядом с кем, чем-л.\nЙ-р-ы-дз-хъа-й-лашв-ун. Лб. Т. Он полол то рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1191b
АдзхъанагIара	А-дз-хъа-[нагIа]-ра\nнеперех.\nнаклониться, нагнуться рядом с кем, чем-л.\nАцIла д-а-дз-хъа-нагIа-тI. Аб. Т. Он наклонился к дереву.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1192
Адзхъапара	А-дз-хъа-[па]-ра\nнеперех.\nподпрыгнуть к кому, чему-л.\nАчва хIаджв д-а-дз-хъа-па-тI. Аб. Т. Он подпрыгнул к скирде сена.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1193
Адзхъапашашара	А-дз-хъа-[пашаша]-ра\nнеперех.\nвозиться рядом с кем, чем-л.\nАмашина д-а-дз-хъа-пашаш-ун. Аб. Т. Он возился рядом с машиной.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1194
Адзхъапсра	А-дз-хъа-[пс]-ра\nнеперех.\nумереть рядом с кем, чем л., устать, утомиться рядом с кем, чем-л.\nАшуара йакIын ахIахъв й-а-дз-хъа-пс-уан. Аб. Т. Страдая от жажды, они умирали рядом с камнем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1195
Адзхъапсара	А-дз-хъа-[пса]-ра\nперех.\nбросить (мелкие или сыпучие предметы) рядом с кем, чем-л.\nАбыгъьква агвара й-а-дз-хъа-р-пс-ун. Т. Т. Они бросали листья рядом с забором. Асабиква айшва тш-а-дз-хъа-р-пса-тI. Адгьыл, 181. Дети набросились на стол.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1196
Адзхъапхьара	А-дз-хъа-[пхьа]-ра\nнеперех.\nночевать рядом с кем, чем-л.\nАтып й-а-дз-хъа-пхьа-тI. Аб. Т. Они ночевали рядом с шалашом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1197
Адзхъапшра	А-дз-хъа-[пш]-ра\nнеперех.\nсмотреть на кого, что-л. рядом\nАуи абацIкъьа йрыбагъьатI, бзи-бзи д-а-та-дз-хъа-пш-х-тI. Нышв, 88. Он укрепил плетень, еще раз хорошо на него посмотрел (рядом).\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1198
Адзхъаптшра (1)	А-дз-хъа-п-[тш]-ра\nнеперех.\nломаться, разбиться рядом с кем, чем-л.\nАчIвыца айшва й-а-дз-хъа-п-тш-тI. Аб. Т. Стекло разбилось рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1199
Адзхъаптшра (2)	А-дз-хъа-п-[тш]-ра\nперех.\nломать, разбить что-л. рядом с кем, чем-н.\nАчIвыца айшва й-а-дз-хъа-пы-р-тш-тI., Аб. Т. Они разбили стекло рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1200
Адзхъаптштшра (1)	А-дз-хъа-п-[тштш]-ра\nнеперех.\nломаться, разбиться на мелкие куски рядом с кем, чем-л.\nАчIвыца айшва й-а-дз-хъа-п-тштш-тI. Аб. Т. Стекло разбилось на мелкие куски рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1201
Адзхъаптштшра (2)	А-дз-хъа-п-[тштш]-ра\nперех.\nломать, разбить что-л. на мелкие куски рядом с кем, чем-л.\nАчIвыца айшва й-а-дз-хъа-пы-р-тштш-тI. Аб. Т. Они стекло разбили на мелкие куски рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1202
АдзхъапIлара	А-дз-хъа-[пIла]-ра\nнеперех.\nсыпаться (о легких и сыпучих предметах) рядом с кем, чем-н.\nАнартыхв цыраква рыдзхъапIлун (й-ры-дз-хъа-пIл-ун). Аб. Т. Рядом с ними сыпались кукурузные зерна,\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1203
АдзхъарбцIра	А-дз-хъа-р-[бцI]-ра\nперех.\nприжать, придавить кого, что-л. к кому, чему-н.\nАгвашв й-а-дз-хъа-ды-р-бцI-тI. Аб. Т. Они то придавили к воротам.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1204
Адзхъаргъвгъвара	А-дз-хъа-р-[гъвгъва]-ра\nперех.\nвыпрямить кого, что-л. рядом с кем, чем-н.\nАркъан адзхъадыргъвгъватI (й-а-дз-хъа-ды-р-гъвгъва-тI). Аб. Т. Они выпрямили веревку рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1205
Адзхъарджьара	А-дз-хъа-р-[джьа]-ра\nперех.\nругать кого-л. рядом с кем, чем-н.\nД-ры-дз-хъа-ды-р-джь-ун. Аб. Т. Они его ругали рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1206
Адзхъаркъвакъвара	А-дз-хъа-р-[къвакъва]-ра\nперех.\nрубить, разрубить кого, что-л. рядом с кем, чем-н.\nАмшIы атып й-а-дз-хъа-йы-р-къвакъва-тI. Аб. Т. Он разрубил дрова рядом с шалашом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1207
АдзхъаркъвчIра	А-дз-хъа-р-[къвчI]-ра\nперех.\nмять, размять что-л. рядом с кем, чем-л.\nАмгIас рыдзхъайыркъвчIуан (й-ры-дз-хъа-йы-р-къвчI-уан). Он рядом с ними мял сыромятную кожу. \nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1208
Адзхъаркъвыдра	А-дз-хъа-р-[къвыд]-ра\nперех.\nстричь кого, что-л, рядом с кем, чем-н.\nАчва атдзы й-а-дз-хъа-йы-р-къвыд-уан. Аб. Т. Он стриг шкуру рядом с домом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1209
Адзхъаркъьакъьара	А-дз-хъа-р-[къьакъьа]-ра\nперех.\nрасплющить что-л. рядом с кем, чем-н.\nАцIгIвыпIа джвылырган й-ры-дз-хъа-ды-р-къьакъьа-тI. Аб. Т. Они вынесли войлочную подстилку и расплющили ее рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1210
АдзхъарпIапIара	А-дз-хъа-р-[пIапIа]-ра\nперех.\nрастолочь что-л. рядом с кем, чем-н.; избить кого-л. рядом с кем, чем-н.\nАджьыкIа рыдзхъадырпIапIатI (й-ры-дз-хъа-ды-р-пIапIа-тI). Аб. Т. Они растолокли соль рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1211
